timesteps,mean_reward,std_reward,mean_episode_length,std_episode_length,success_rate,reward_threshold,threshold_streak,n_eval_episodes,environment,environment_id,seed
290000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
300000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
310000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
320000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
330000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
340000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
350000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
360000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
370000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
380000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
390000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
400000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
410000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
420000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
430000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
440000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
450000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
460000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
470000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
480000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
490000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
500000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,1
10000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
20000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
30000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
40000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
50000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
60000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
70000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
80000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
90000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
100000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
110000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
120000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
130000,0.0,0.0,256.0,0.0,0.0,0.75,0,20,dynamic-obstacles-8x8,MiniGrid-Dynamic-Obstacles-8x8-v0,2
